Incident,Counties,Started,Acres,Containment
Cedar Fire,Butte,2013-05-01,72,100%
Neal Fire,Butte,2013-05-22,150,100%
Lone Fire,Butte,2013-06-03,298,100%
Branch Fire,Butte,2013-08-01,92,100%
Swedes Fire,Butte,2013-08-16,"2,264",100%
Centerville Fire,Butte,2013-08-31,80,100%
Summit Fire,Butte,2013-10-04,305,100%
Honcut Fire,Butte,2014-01-01,60,100%
Wildlife Fire,Butte,2014-07-14,72,100%
Web Fire,Butte,2014-07-28,378,100%
Webb Fire,Butte,2015-07-01,75,100%
Swedes Fire,Butte,2015-07-29,400,100%
Olive Fire,Butte,2015-09-02,72,100%
Butte Fire,Butte,2015-09-09,"70,868",100%
Lumpkin Fire,Butte,2015-09-11,"1,040",100%
Munjar Fire,Butte,2015-10-02,104,100%
Meridian Fire,Butte,2015-10-03,860,100%
Dunstone Fire,Butte,2016-05-27,91,100%
70 Fire,Butte,2016-05-29,30,100%
Coal Fire,Butte,2016-06-20,112,100%
70 Fire,Butte,2016-06-21,49,100%
Neal Fire,Butte,2016-07-28,35,100%
99 Fire,Butte,2016-08-02,520,100%
Santos Fire,Butte,2016-08-26,88,100%
Saddle Fire,Butte,2016-09-05,800,100%
Old Fire,Butte,2016-09-16,30,100%
Bangor Fire,Butte,2016-09-22,130,100%
Oroville Spillway,Butte,2017-02-07,,
Wilbur Fire,Butte,2017-06-06,91,100%
Skyway Fire,Butte,2017-06-16,134,100%
Highway Fire,Butte,2017-06-22,21,100%
Lone Fire,Butte,2017-06-22,111,100%
Desabla Fire,Butte,2017-07-02,14,100%
Lakeland Fire,Butte,2017-07-04,18,100%
Wall Fire,Butte,2017-07-07,"6,033",100%
Honcut Fire,Butte,2017-07-10,166,100%
Rebie Fire,Butte,2017-07-12,10,100%
Humboldt Fire,Butte,2017-07-19,103,100%
Ponderosa Fire,Butte,2017-08-29,"4,016",100%
Pacific Fire,Butte,2017-09-12,12,100%
32 Fire,Butte,2017-09-25,28,100%
Soda Fire,Butte,2017-09-28,143,100%
Cherokee Fire,Butte,2017-10-08,"8,500",100%
LaPorte Fire (Wind Complex),Butte,2017-10-09,"6,151",100%
Honey Fire,Butte,2017-10-09,150,100%
70 Fire,Butte,2018-06-14,20,100%
Oregon Fire,Butte,2018-06-16,40,100%
Shippee Fire,Butte,2018-06-26,460,100%
Llano Fire,Butte,2018-06-29,10,100%
Par Fire,Butte,2018-07-04,191,100%
Dark Fire,Butte,2018-07-10,11,100%
Stoney Fire,Butte,2018-07-12,962,100%
Simmons Fire,Butte,2018-07-19,43,100%
Nimshew Fire,Butte,2018-09-24,33,100%
Powellton Fire,Butte,2018-10-15,10,100%
June Fire,Butte,2018-10-30,550,100%
Camp Fire,Butte,2018-11-08,"1,53,336",100%
Honey Flooding,Butte,2018-11-29,,
Cana Fire,Butte,2019-04-30,10,100%
Meridian Fire,Butte,2019-05-01,50,100%
32 Fire,Butte,2019-06-15,17,100%
Mayberry Fire,Butte,2019-06-29,12,100%
Moms Fire,Butte,2019-07-23,10,100%
Forbestown Fire,Butte,2019-09-06,58,100%
Swedes Fire,Butte,2019-09-07,496,100%
Hwy Fire,Butte,2019-09-28,300,100%
Nelson Fire,Butte,2019-10-24,80,100%
Candy Fire,Butte,2020-05-08,17,100%
Nelson Fire,Butte,2020-06-17,95,100%
Teddy Fire,Butte,2020-06-18,13,100%
Honcut Fire,Butte,2020-06-20,89,100%
Avacado Fire,Butte,2020-06-30,136,100%
Robinson Fire,Butte,2020-07-13,33,100%
Feather Fire,Butte,2020-07-20,30,100%
Clark Fire,Butte,2020-08-14,110,100%
Ferry Fire,Butte,2020-10-22,6,100%
Gunnison Fire,Butte,2021-05-08,550,100%
Park Fire,Butte,2021-06-17,402,100%
Sky Fire,Butte,2021-06-27,76,100%
Dixie Fire,"Butte, Plumas, Shasta, Lassen, Tehama",2021-07-13,"9,63,309",100%
Park Fire,Butte,2022-06-09,54,100%
99 Fire,Butte,2022-06-22,66,100%
Sandra Fire,Butte,2022-06-30,34,100%
Nelson Fire,Butte,2022-06-30,328,100%
Jan-Dar Fire,Butte,2022-07-04,30,100%
Turkey Fire,Butte,2023-07-26,65,100%
Cemetery Fire,Butte,2023-08-09,68,100%
