Incident,Counties,Started,Acres,Containment
Butte Fire,Fresno,2013-04-09,80,100%
Michelle Fire,Fresno,2013-06-13,35,100%
Clinton Fire,Fresno,2013-06-13,108,100%
Sierra Fire,Fresno,2013-06-17,46,100%
George Fire,Fresno,2013-06-25,150,100%
Aspen Fire,Fresno,2013-07-22,"22,992",100%
Lake Fire,Fresno,2014-01-25,106,100%
Morgan Fire,Fresno,2014-06-09,40,100%
Hall Fire,Fresno,2014-06-11,25,100%
FKU Lightning Fires,Fresno,2015-06-05,45,100%
Kerkhoff Fire,Fresno,2015-07-18,60,100%
Rough Fire,Fresno,2015-07-31,"1,51,623",100%
Creek Fire,Fresno,2015-09-09,170,100%
Hills Fire,Fresno,2016-04-28,151,100%
Avocado Fire,Fresno,2016-05-15,132,100%
DeWolf Fire,Fresno,2016-05-25,278,100%
Curry Fire,Fresno,2016-07-01,"2,944",100%
Frame Fire,Fresno,2016-07-04,145,100%
Big Fire,Fresno,2016-07-11,188,100%
Green Fire,Fresno,2016-07-15,123,100%
Goose Fire,Fresno,2016-07-30,"2,241",100%
Mineral Fire,Fresno,2016-08-08,"7,050",100%
Sunny Fire,Fresno,2016-09-03,158,100%
Newmark Fire,Fresno,2016-09-23,70,100%
Sacata Fire,Fresno,2016-10-11,"2,100",100%
Jayne Fire,Fresno,2017-04-20,"4,532",100%
El Dorado Fire,Fresno,2017-04-28,750,100%
Tumey Fire,Fresno,2017-04-29,126,100%
Sonoma Fire,Fresno,2017-05-10,400,100%
Elm Fire,Fresno,2017-05-18,"10,000",100%
Manning Fire,Fresno,2017-05-19,70,100%
Rusty Fire,Fresno,2017-05-28,16,100%
Panoche Fire,Fresno,2017-05-28,18,100%
Wild Fire,Fresno,2017-06-11,186,100%
Tivy Fire,Fresno,2017-06-11,76,100%
Monterey Fire,Fresno,2017-06-11,450,100%
Creek Fire,Fresno,2017-06-23,357,100%
Derrick Fire,Fresno,2017-07-02,"1,562",100%
Freedom Fire,Fresno,2017-07-04,57,100%
Auberry Fire,Fresno,2017-07-05,91,100%
Park Fire,Fresno,2017-07-17,"1,649",100%
Juniper Fire,Fresno,2017-08-23,31,100%
Flat Fire,Fresno,2017-08-26,111,100%
Hill Fire,Fresno,2017-08-27,69,100%
Coalinga Fire,Fresno,2017-08-30,102,100%
Parkfield Fire,Fresno,2017-09-03,100,100%
Shaver Fire,Fresno,2017-09-11,10,100%
Murphy Fire,Fresno,2017-09-19,237,100%
Silver Fire,Fresno,2017-10-11,58,100%
Aqueduct Fire,Fresno,2018-04-12,30,100%
Cobble Fire,Fresno,2018-05-26,108,100%
Coldwell Fire,Fresno,2018-06-02,13,100%
Anchor Fire,Fresno,2018-06-27,76,100%
Eagle Fire,Fresno,2018-10-02,32,100%
Hill Fire,Fresno,2019-05-29,121,100%
Frame Fire,Fresno,2019-09-30,25,100%
Mud Fire,Fresno,2019-10-18,137,100%
Hog Fire,Fresno,2020-06-12,533,100%
Sycamore Fire,Fresno,2020-06-23,19,100%
Kings Fire,Fresno,2020-07-05,67,100%
Mineral Fire,Fresno,2020-07-13,"29,667",100%
Trimmer Fire,Fresno,2020-08-04,594,100%
Hills Fire,Fresno,2020-08-15,"2,121",100%
Creek Fire,"Fresno, Madera",2020-09-04,"3,79,895",100%
Bullfrog Fire,Fresno,2020-09-12,"1,185",100%
Slope Fire,Fresno,2021-05-31,25,100%
Vulcan Fire,Fresno,2021-06-27,140,100%
Blue Fire,Fresno,2021-06-30,277,100%
Fish Fire,Fresno,2021-07-04,75,100%
House Fire,Fresno,2022-05-11,171,100%
Table Fire,Fresno,2022-07-01,52,100%
Pebble Fire,Fresno,2022-07-31,55,100%
Power Fire,Fresno,2022-09-06,130,100%
Pistol Fire,Fresno,2023-05-30,123,100%
Orange Fire,Fresno,2023-06-01,108,100%
Panoche Fire,Fresno,2023-06-03,65,100%
Rodeo Fire,Fresno,2023-06-09,15,100%
Wildcat Fire,Fresno,2023-06-16,External Incident LinkExternal Link,
Slough Fire,Fresno,2023-06-18,640,100%
Crane Fire,Fresno,2023-06-27,24,100%
Juniper Fire,Fresno,2023-07-18,15,100%
Long Fire,Fresno,2023-07-25,33,100%
