Incident,Counties,Started,Acres,Containment
Grand Fire,"Kern, Ventura",2013-05-15,"4,346",100%
Rancho Fire,Kern,2013-07-19,500,100%
Water Fire,Kern,2013-07-23,612,100%
Shirley Fire,Kern,2013-08-18,794,100%
Shirley Fire,Kern,2014-06-13,"3,895",100%
Ranch Fire,Kern,2014-07-01,70,100%
Nicolls Fire,Kern,2014-07-11,"1,680",100%
Way Fire,Kern,2014-08-18,"4,045",100%
Pass Fire,Kern,2015-06-15,67,100%
Flat Fire,Kern,2015-08-20,167,100%
Antelope Fire,Kern,2015-09-09,45,100%
Walker Fire,Kern,2016-05-30,43,100%
Cotton Fire,Kern,2016-06-11,61,100%
Erskine Fire,Kern,2016-06-23,"48,019",100%
Deer Fire,Kern,2016-07-01,"1,785",100%
Fort Fire,Kern,2016-07-08,554,100%
Onyx Fire,Kern,2016-07-13,221,100%
Famoso Fire,Kern,2016-07-15,138,100%
Hart Fire,Kern,2016-08-04,100,100%
Cedar Fire,Kern,2016-08-16,"29,322",100%
Range Fire,Kern,2016-08-26,600,100%
Havilah Fire,Kern,2016-08-28,304,100%
Flat Fire,Kern,2016-09-19,307,100%
Fay Fire,Kern,2017-05-01,19,100%
Hub Fire,Kern,2017-05-12,31,100%
Feed Fire,Kern,2017-05-14,41,100%
Bravo Fire,Kern,2017-05-15,288,100%
Ming Fire,Kern,2017-05-20,506,100%
Champagne Fire,Kern,2017-05-28,10,100%
Elk Fire,Kern,2017-06-02,16,100%
Creek Fire,Kern,2017-06-04,33,100%
Pine Fire,Kern,2017-06-05,10,100%
Breckenridge Fire,Kern,2017-06-09,35,100%
Bodfish Fire,Kern,2017-06-10,206,100%
Highway Fire,Kern,2017-06-18,"1,522",100%
Tarina Fire,Kern,2017-06-30,"1,200",100%
Quail Fire,Kern,2017-07-06,"1,626",100%
Hawk Fire,Kern,2017-07-07,"2,940",100%
Hudson Fire,Kern,2017-07-18,"1,083",100%
Garden Fire,Kern,2017-07-30,"1,350",100%
Calgary Fire,Kern,2017-08-05,50,100%
Rose Fire,Kern,2017-08-10,338,100%
Caldwell Fire,Kern,2017-09-01,"1,319",100%
Lakewood Fire,Kern,2017-09-29,40,100%
Quarry Fire,Kern,2017-10-12,183,100%
Rolling Fire,Kern,2017-10-15,184,100%
Tank Fire,Kern,2017-10-26,50,100%
Twisselman Fire,Kern,2018-05-16,293,100%
Sheep Fire,Kern,2018-06-29,95,100%
Lebec Fire,Kern,2018-07-08,62,100%
Breckenridge Fire,Kern,2018-07-27,993,100%
Tarina Fire,Kern,2018-08-03,"3,156",100%
Pine Fire,Kern,2018-08-16,114,100%
Marcel Fire,Kern,2018-08-17,34,100%
Call Fire,Kern,2018-08-18,367,100%
Water Fire,Kern,2018-09-12,200,100%
Woody Fire,Kern,2019-04-30,115,100%
Vulcan Fire,Kern,2019-05-03,172,100%
Refuge Fire,Kern,2019-05-07,"2,500",100%
Tejon Fire,Kern,2019-07-21,208,100%
Mesa Fire,Kern,2019-07-31,448,100%
Caliente Fire,Kern,2019-08-05,29,100%
Baker Fire,Kern,2020-06-17,165,100%
Bena Fire,Kern,2020-07-01,"4,000",100%
Sheep Fire,Kern,2020-07-30,233,100%
Stagecoach Fire,Kern,2020-08-03,"7,760",100%
Fort Fire,Kern,2020-08-06,277,100%
Soda Fire,Kern,2020-08-12,424,100%
Wolf Fire,Kern,2021-01-19,865,100%
Grapevine Fire,Kern,2021-03-14,86,100%
Wolves Fire,Kern,2021-04-23,50,100%
Crane Fire,Kern,2021-06-18,48,100%
Canyon Fire,Kern,2021-06-26,220,100%
Shell Fire,Kern,2021-06-27,"1,984",100%
Bear Fire,Kern,2021-07-11,71,100%
Peak Fire,Kern,2021-07-20,"2,098",100%
French Fire,Kern,2021-08-18,External Incident LinkExternal Link,
Edmonston Fire,Kern,2022-05-19,682,100%
Range Fire,Kern,2022-06-03,93,100%
Plant Fire,Kern,2022-06-11,517,100%
Thunder Fire,Kern,2022-06-22,"2,500",100%
Mesa Fire,Kern,2022-07-30,222,100%
Rail Fire,Kern,2022-08-14,250,100%
Champagne Fire,Kern,2023-06-30,25,100%
District Fire,Kern,2023-07-07,"1,044",100%
Scodie Fire,Kern,2023-07-28,20,100%
Beale Fire,Kern,2023-08-01,61,100%
East Fire,Kern,2023-08-01,"1,291",100%
Haberkern Fire,Kern,2023-08-01,35,100%
Tecuya Fire,Kern,2023-08-02,External Incident LinkExternal Link,
Boulevard Fire,Kern,2023-08-04,88,100%
No Name Fire,Kern,2023-08-05,"1,120",100%
Almond Fire,Kern,2023-08-06,"5,228",100%
Trotter,Kern,2023-08-14,52,100%
Caliente Fire,Kern,2023-09-16,55,100%
Midway Fire,Kern,2023-11-12,External Incident LinkExternal Link,
Pine Fire,Kern,2023-12-15,181,100%
