Incident,Counties,Started,Acres,Containment
Lake Fire,Los Angeles,2013-05-17,712,100%
Magic Fire,Los Angeles,2013-05-28,149,100%
Powerhouse Fire,Los Angeles,2013-05-30,"30,274",100%
Bee Fire,Los Angeles,2013-08-09,100,100%
Madre Fire,Los Angeles,2013-09-23,268,100%
Colby Fire,Los Angeles,2014-01-16,"1,952",100%
Shoemaker Fire,Los Angeles,2014-08-14,190,100%
Tecolote Fire,Los Angeles,2014-08-17,274,100%
Calgrove Fire,Los Angeles,2015-06-24,415,100%
Pines Fire,Los Angeles,2015-07-17,200,100%
Lincoln Fire,Los Angeles,2015-08-16,374,100%
Warm Fire,Los Angeles,2015-08-16,300,100%
Gorman Fire,Los Angeles,2016-04-19,,
Wheatland Fire,Los Angeles,2016-05-23,156,100%
Old Fire,Los Angeles,2016-06-04,,
San Gabriel Complex (Formerly Fish & Reservoir Fires),Los Angeles,2016-06-20,"5,399",100%
Sage Fire,Los Angeles,2016-07-09,"1,100",100%
Sand Fire,Los Angeles,2016-07-22,,
Marek Fire,Los Angeles,2016-11-14,"4,824",100%
5 Fire,Los Angeles,2017-06-03,25,100%
Lake Fire,Los Angeles,2017-06-17,850,100%
Placerita Fire,Los Angeles,2017-06-25,760,100%
Stokes Fire,Los Angeles,2017-06-29,41,100%
Topanga Fire,Los Angeles,2017-06-29,55,100%
Gorman Fire,Los Angeles,2017-07-28,135,100%
Rincon Fire,Los Angeles,2017-08-03,10,100%
Castaic Fire,Los Angeles,2017-08-31,30,100%
La Tuna Fire,Los Angeles,2017-09-01,"7,194",100%
Wilson Fire,Los Angeles,2017-10-17,50,100%
Rye Fire,Los Angeles,2017-12-05,"6,049",100%
Creek Fire,Los Angeles,2017-12-05,"15,619",100%
Skirball Fire,Los Angeles,2017-12-06,422,100%
Stone Fire,Los Angeles,2018-06-04,"1,352",100%
South Fire,Los Angeles,2018-06-09,175,100%
Portola Fire,Los Angeles,2018-06-12,20,100%
Canyon Fire,Los Angeles,2018-06-23,62,100%
Pico Fire,Los Angeles,2018-07-23,128,100%
Fork Fire,Los Angeles,2018-09-09,166,100%
Charlie Fire,Los Angeles,2018-09-22,"3,380",100%
Woolsey Fire,"Los Angeles, Ventura",2018-11-08,"96,949",100%
Five Fire,Los Angeles,2019-08-03,156,100%
West Fire,Los Angeles,2019-08-13,"1,575",100%
Saddle Ridge Fire,Los Angeles,2019-10-10,"8,799",100%
Palisades Fire,Los Angeles,2019-10-21,42,100%
Tick Fire,Los Angeles,2019-10-24,"4,615",100%
Getty Fire,Los Angeles,2019-10-28,745,100%
Rowher Fire,Los Angeles,2020-07-01,648,100%
Soledad Fire,Los Angeles,2020-07-05,"1,525",100%
Ridge Fire,Los Angeles,2020-07-27,321,100%
Dam Fire,Los Angeles,2020-07-30,220,95%
Castaic Fire,Los Angeles,2020-08-01,178,100%
Post Fire,Los Angeles,2020-08-02,120,100%
Elsmere Fire,Los Angeles,2020-08-03,200,100%
Texas Fire,Los Angeles,2020-08-06,210,100%
Lake Fire,Los Angeles,2020-08-12,"31,089",100%
Ranch 2 Fire,Los Angeles,2020-08-13,"4,237",100%
Johnson Fire,Los Angeles,2020-08-28,290,100%
Martindale Fire,Los Angeles,2020-09-28,230,100%
San Dimas Fire,Los Angeles,2020-11-06,131,100%
Towsley Fire,Los Angeles,2021-01-19,184,100%
North Fire,Los Angeles,2021-04-28,650,100%
Pine Fire,Los Angeles,2021-05-12,442,100%
Palisades Fire,Los Angeles,2021-05-14,"1,202",100%
WeeVill Fire,Los Angeles,2021-05-20,300,100%
Tumbleweed Fire,Los Angeles,2021-07-04,868,100%
Hungry Fire,Los Angeles,2021-07-31,340,100%
Antonio Fire,Los Angeles,2021-08-03,50,100%
Route Fire,Los Angeles,2021-09-11,464,100%
Emigrant Fire,Los Angeles,2021-09-17,External Incident LinkExternal Link,
Sam Fire,Los Angeles,2022-08-10,149,100%
Quail Fire,Los Angeles,2022-08-17,53,100%
East Fire,Los Angeles,2022-08-25,150,100%
Gulch Fire,Los Angeles,2022-08-29,113,100%
Route Fire,Los Angeles,2022-08-31,"5,208",100%
Peter Fire,Los Angeles,2023-07-03,14,100%
Victor Fire,Los Angeles,2023-07-25,70,100%
Agua Fire,Los Angeles,2023-07-25,421,100%
