Incident,Counties,Started,Acres,Containment
Jurupa Fire,Riverside,2013-02-28,300,100%
Summit Fire,Riverside,2013-05-01,"2,956",100%
Gorgonio Fire,Riverside,2013-05-04,650,100%
54 Fire,Riverside,2013-05-16,40,100%
Cherry Fire,Riverside,2013-05-20,25,100%
Water Fire,Riverside,2013-05-21,90,100%
Smiley Fire,Riverside,2013-05-25,124,100%
Viper Fire,Riverside,2013-06-08,42,100%
Hathaway Fire,Riverside,2013-06-09,,
Palmyrita Fire,Riverside,2013-06-14,40,100%
Mountain Fire,Riverside,2013-07-15,"27,531",100%
Redlands Fire,Riverside,2013-07-16,150,100%
Gilman Fire,Riverside,2013-07-19,15,100%
Heacock Fire,Riverside,2013-07-19,40,100%
Relay Fire,Riverside,2013-08-04,60,100%
Falls Fire,Riverside,2013-08-05,"1,383",100%
Tram Fire,Riverside,2013-08-06,60,100%
Silver Fire,Riverside,2013-08-07,"20,292",100%
Pierce Fire,Riverside,2013-08-16,40,100%
Pierce Fire,Riverside,2014-03-15,350,100%
Van Buren Fire,Riverside,2014-03-28,57,100%
Santa Fire,Riverside,2014-06-04,14,100%
Bogart Fire,Riverside,2014-06-06,31,100%
Sabina Fire,Riverside,2014-07-23,78,100%
Interstate Fire,Riverside,2014-09-01,100,100%
Highway Fire,Riverside,2015-04-18,"1,049",100%
Harrison Fire,Riverside,2015-06-01,80,100%
Snow Fire,Riverside,2015-06-05,25,100%
Grapefruit Fire,Riverside,2015-06-18,60,100%
Merwin Fire,Riverside,2015-07-01,150,100%
Spider Fire,Riverside,2015-07-12,21,100%
Anza Fire,Riverside,2015-08-10,500,100%
Temecula Fire,Riverside,2016-06-04,139,100%
Briggs Fire,Riverside,2016-07-12,173,100%
Evergreen Fire,Riverside,2016-08-28,40,100%
Bogart Fire,Riverside,2016-08-30,"1,470",100%
66 Fire,Riverside,2017-04-13,15,100%
Opera Fire,Riverside,2017-04-30,"1,350",100%
Jameson Fire,Riverside,2017-04-30,12,100%
Canyon Fire,Riverside,2017-05-14,17,100%
Moraga Fire,Riverside,2017-05-18,14,100%
Smiley Fire,Riverside,2017-05-21,35,100%
Moreno Fire,Riverside,2017-05-23,10,100%
Lamb Fire,Riverside,2017-05-25,120,100%
Serenas Fire,Riverside,2017-05-28,48,100%
Fairview Fire,Riverside,2017-06-01,26,100%
Vernon Fire,Riverside,2017-06-03,27,100%
Shirleon Fire,Riverside,2017-06-04,10,100%
Reed Fire,Riverside,2017-06-13,20,100%
Valley Fire,Riverside,2017-06-13,33,100%
