Incident,Counties,Started,Acres,Containment
Fawnskin Fire,San Bernardino,2013-04-20,30,100%
Lytle Fire,San Bernardino,2013-05-13,75,100%
Mills Fire,San Bernardino,2013-06-28,534,100%
Silverwood Fire,San Bernardino,2013-07-25,75,100%
Sharp Fire,San Bernardino,2013-08-08,243,100%
Cleghorn Fire,San Bernardino,2013-08-17,110,100%
Gobblers Fire,San Bernardino,2013-08-20,413,100%
Little Fire,San Bernardino,2013-08-24,97,100%
Liveoak Fire,San Bernardino,2013-09-11,73,100%
Sierra Fire,San Bernardino,2013-09-24,200,100%
Etiwanda Fire,San Bernardino,2014-04-30,"2,143",100%
Bane Fire,San Bernardino,2014-10-16,48,100%
Lake Fire,San Bernardino,2015-06-17,"31,359",100%
Sterling Fire,San Bernardino,2015-06-25,100,100%
Mill 2 Fire,San Bernardino,2015-07-12,54,100%
North Fire,San Bernardino,2015-07-17,"4,250",100%
Scales Fire,San Bernardino,2015-08-01,65,100%
Summit Fire,San Bernardino,2015-08-23,55,100%
Pilot Fire,San Bernardino,2016-08-07,"8,110",100%
Blue Cut Fire,San Bernardino,2016-08-16,"36,274",100%
Ken Fire,San Bernardino,2016-09-03,20,100%
Spring Fire,San Bernardino,2016-09-07,50,100%
Tower Fire,San Bernardino,2017-04-30,150,100%
Matz Fire,San Bernardino,2017-05-29,16,100%
Holcomb Fire,San Bernardino,2017-06-19,"1,503",100%
Mart Fire,San Bernardino,2017-06-27,670,100%
Silver Fire,San Bernardino,2017-07-04,13,100%
Bryant Fire,San Bernardino,2017-07-07,74,100%
Hidden Fire,San Bernardino,2017-07-12,46,100%
Bridge Fire,San Bernardino,2017-07-14,460,100%
Dollar Fire,San Bernardino,2017-07-22,85,100%
Seine Fire,San Bernardino,2017-07-22,20,100%
High Fire,San Bernardino,2017-07-23,170,100%
Mile Fire,San Bernardino,2017-07-31,100,100%
Bryant Fire,San Bernardino,2017-08-03,325,100%
Freeway Fire,San Bernardino,2017-10-24,40,100%
Oak Fire,San Bernardino,2017-11-29,99,100%
Little Mountain Fire,San Bernardino,2017-12-05,260,100%
Meyers Fire,San Bernardino,2017-12-05,34,100%
Creek Fire,San Bernardino,2018-06-30,33,100%
Box Fire,San Bernardino,2018-07-06,100,100%
Valley Fire,San Bernardino,2018-07-06,"1,350",100%
Gray Fire,San Bernardino,2018-07-13,12,100%
Sterling,San Bernardino,2018-08-31,125,100%
Keenbrook Fire,San Bernardino,2018-09-26,53,100%
Sierra Fire,San Bernardino,2018-11-13,147,100%
Milpas Fire,San Bernardino,2019-07-22,81,100%
Star Fire,San Bernardino,2019-07-28,156,100%
La Barisa Fire,San Bernardino,2019-08-03,26,100%
Telephone Fire,San Bernardino,2019-09-02,15,100%
Beaumont Fire,San Bernardino,2019-10-21,11,100%
Old Water Fire,San Bernardino,2019-10-24,145,100%
Hillside Fire,San Bernardino,2019-10-31,200,100%
Mount R Fire,San Bernardino,2020-07-03,62,100%
Pitzer Fire,San Bernardino,2020-07-17,119,100%
Easton Fire,San Bernardino,2020-07-20,71,100%
Brook Fire,San Bernardino,2020-07-29,185,100%
El Dorado Fire,"San Bernardino, Riverside",2020-09-05,"22,744",100%
Bruder Fire,San Bernardino,2020-10-15,170,100%
Cypress Fire,"Riverside, San Bernardino",2020-11-01,150,100%
Pitman Fire,San Bernardino,2020-12-26,,
Farm Fire,San Bernardino,2021-06-09,250,100%
Peak Fire,San Bernardino,2021-06-28,35,100%
South Fire,San Bernardino,2021-08-25,680,100%
Roadside Fire,San Bernardino,2021-08-28,50,100%
Railroad Fire,San Bernardino,2021-08-29,61,100%
University Fire,San Bernardino,2021-09-22,71,100%
Heritage Fire,San Bernardino,2022-05-15,500,100%
Elk Trail Fire,San Bernardino,2022-05-26,431,100%
Hesperia Fire,San Bernardino,2022-06-06,95,100%
Sheep Fire,San Bernardino,2022-06-12,865,100%
Highway Fire,San Bernardino,2022-07-29,28,100%
Radford Fire,San Bernardino,2022-09-05,"1,079",100%
Manzanita Fire,San Bernardino,2022-09-23,External Incident LinkExternal Link,
Nob Fire,San Bernardino,2023-04-26,External Incident Link,
Geology Fire,San Bernardino,2023-06-10,"1,088",100%
Nice Fire,San Bernardino,2023-06-27,90,100%
Roundup Fire,San Bernardino,2023-07-04,34,100%
York Fire,San Bernardino,2023-08-01,"93,078",100%
