Incident,Counties,Started,Acres,Containment
Border Fire,San Diego,2013-05-22,100,100%
San Felipe Fire,San Diego,2013-05-23,"2,650",100%
General Fire,San Diego,2013-05-26,"2,500",100%
Chariot Fire,San Diego,2013-07-06,"7,055",100%
Flume Fire,San Diego,2013-07-28,25,100%
Lyon Fire,San Diego,2013-09-09,263,100%
Valley Fire,San Diego,2013-09-26,40,100%
DeLuz Fire,San Diego,2013-10-05,"2,236",100%
Gun Fire,San Diego,2014-03-08,125,100%
Jacumba Fire,San Diego,2014-05-05,29,100%
Bernardo Fire,San Diego,2014-05-13,"1,548",100%
Highway Fire,San Diego,2014-05-14,380,100%
River Fire,San Diego,2014-05-14,105,100%
Poinsettia Fire,San Diego,2014-05-14,600,100%
Cocos Fire,San Diego,2014-05-14,"1,995",100%
Freeway Fire,San Diego,2014-05-14,56,100%
Tomahawk Fire,San Diego,2014-05-14,"5,367",100%
Pulgas Fire,San Diego,2014-05-15,"14,416",100%
San Mateo Fire,San Diego,2014-05-16,"1,457",100%
Banner Fire,San Diego,2014-07-03,217,100%
Border Fire,San Diego,2014-08-16,20,100%
Wildcat Fire,San Diego,2015-06-17,171,100%
Otay Fire,San Diego,2015-06-26,80,100%
Lake Fire,San Diego,2015-07-16,25,100%
Cutca Fire,San Diego,2015-07-24,167,100%
Park Fire,San Diego,2015-07-24,25,100%
De Luz Fire,San Diego,2015-08-09,55,100%
Horno Fire,San Diego,2015-08-13,"1,850",100%
Pala Fire,San Diego,2016-05-31,70,100%
Border Fire,San Diego,2016-06-19,"7,609",100%
Feather Fire,San Diego,2016-07-18,100,100%
Roblar Fire,San Diego,2016-07-21,"1,245",100%
Rock Fire,San Diego,2016-07-22,28,100%
Gopher Fire,San Diego,2016-08-10,35,100%
Gopher Fire,San Diego,2016-11-13,28,100%
Deluz Fire,San Diego,2017-05-19,486,100%
Gate Fire,San Diego,2017-05-20,"2,056",100%
Ribbonwood Fire,San Diego,2017-05-24,25,100%
Range Fire,San Diego,2017-05-25,"1,000",100%
Dehesa Fire,San Diego,2017-06-04,12,100%
Douglas Fire,San Diego,2017-06-13,50,100%
Black Fire,San Diego,2017-06-25,36,100%
Sloane Fire,San Diego,2017-06-27,25,100%
Cristianitos Fire,San Diego,2017-06-28,,
Jennings Fire,San Diego,2017-07-11,400,100%
Lost Fire,San Diego,2017-07-22,255,100%
Eclipse Fire,San Diego,2017-08-21,200,100%
Montezuma Fire,San Diego,2017-08-26,62,100%
Border Fire,San Diego,2017-09-01,130,100%
Border 9 Fire,San Diego,2017-09-07,25,100%
Loma Fire,San Diego,2017-10-13,81,100%
Wilson Fire,San Diego,2017-10-15,25,100%
Buffalo Fire,San Diego,2017-10-17,"1,088",100%
Church Fire,San Diego,2017-10-21,100,100%
Lilac Fire,San Diego,2017-12-07,"4,088",100%
Alpha Fire,San Diego,2018-05-04,300,100%
Jacques Fire,San Diego,2018-05-09,18,100%
Volcan Fire,San Diego,2018-05-10,12,100%
Agua Fire,San Diego,2018-05-22,59,100%
Green Fire,San Diego,2018-06-03,10,100%
Adobe Fire,San Diego,2018-06-03,38,100%
Vista Fire,San Diego,2018-06-05,12,100%
Recycle Fire,San Diego,2018-06-06,265,100%
West Fire,San Diego,2018-07-06,504,100%
Building Fire,San Diego,2018-07-06,10,100%
Border Fire,San Diego,2018-07-17,28,100%
Cinnamon Fire,San Diego,2018-07-20,13,100%
Pasqual Fire,San Diego,2018-07-27,365,100%
Rock Fire,San Diego,2018-07-28,207,100%
Casner Fire,San Diego,2018-08-06,14,100%
Rangeland Fire,San Diego,2018-08-09,250,100%
Cloverdale Fire,San Diego,2018-08-13,100,100%
Border Fire,San Diego,2019-05-13,22,100%
Pauma Fire,San Diego,2019-06-10,15,100%
Weisgarber Fire,San Diego,2019-06-20,120,100%
Otay Fire,San Diego,2019-06-29,28,100%
Border Fire,San Diego,2019-07-12,100,100%
Vista Fire,San Diego,2019-07-17,25,100%
Dehesa Fire,San Diego,2019-07-28,150,100%
Caliente Fire,San Diego,2019-08-01,448,100%
Border 9 Fire,San Diego,2019-08-15,80,100%
Border 10 Fire,"Mexico, San Diego",2019-08-25,25,100%
Dehesa Fire,San Diego,2019-09-24,200,100%
Willow Fire,San Diego,2019-09-25,52,100%
Fairmont Fire,San Diego,2019-10-15,10,100%
Oak Fire,San Diego,2019-10-22,,
Miller Fire,San Diego,2019-10-25,37,100%
Sawday Fire,San Diego,2019-10-25,97,100%
Copper Fire,San Diego,2019-10-31,50,100%
India Fire,San Diego,2020-06-09,"1,100",100%
Skyline Fire,San Diego,2020-06-11,100,100%
Border 7 Fire,San Diego,2020-06-11,90,100%
Border 11 Fire,San Diego,2020-07-28,100,100%
Volcano Fire,San Diego,2020-08-20,45,100%
Valley Fire,San Diego,2020-09-05,"16,390",100%
Willow Fire,San Diego,2020-12-02,,
Paso Fire,San Diego,2021-04-12,28,100%
Southern Fire,San Diego,2021-05-02,"5,366",100%
Sierra Fire,San Diego,2021-06-09,"1,000",100%
Overland Fire,San Diego,2021-06-19,515,100%
Clevenger Fire,San Diego,2021-06-20,53,100%
Mesa Fire,San Diego,2021-06-23,350,100%
Ysabel Fire,San Diego,2021-07-03,173,100%
Road Fire,San Diego,2021-07-10,86,100%
Border 13 Fire,San Diego,2021-07-15,30,100%
Chaparral Fire,"Riverside, San Diego",2021-08-28,"1,427",100%
