Incident,Counties,Started,Acres,Containment
Cottontail Fire,San Luis Obispo,2013-05-20,35,100%
Homestead Fire,San Luis Obispo,2013-05-25,50,100%
Branch Fire,San Luis Obispo,2013-06-01,500,100%
Adelaida Fire,San Luis Obispo,2013-07-07,85,100%
Creek Fire,San Luis Obispo,2013-09-24,94,100%
Toro Fire,San Luis Obispo,2013-11-08,51,100%
Interlake Fire,San Luis Obispo,2014-07-07,47,100%
Park Hill Fire,San Luis Obispo,2015-06-20,"1,791",100%
Deer Fire,San Luis Obispo,2015-07-10,95,100%
Cuesta Fire,San Luis Obispo,2015-08-16,"2,446",100%
Shedd Fire,San Luis Obispo,2016-05-10,150,100%
Roberts Fire,San Luis Obispo,2016-05-18,"3,712",100%
Soda Fire,San Luis Obispo,2016-06-04,,
Frazier Fire,San Luis Obispo,2016-06-27,86,100%
Chimney Fire,San Luis Obispo,2016-08-13,"46,235",100%
Olive Fire,San Luis Obispo,2017-05-02,130,100%
Shandon Fire,San Luis Obispo,2017-05-07,12,100%
Arrow Fire,San Luis Obispo,2017-05-15,225,100%
Camp Fire,San Luis Obispo,2017-05-18,225,100%
Range Fire,San Luis Obispo,2017-05-19,,
Rocky Fire,San Luis Obispo,2017-05-20,17,100%
Lucy Fire,San Luis Obispo,2017-06-14,150,100%
Hill Fire,San Luis Obispo,2017-06-26,"1,626",100%
Alamo Fire,San Luis Obispo,2017-07-06,"28,687",100%
Tower Fire,San Luis Obispo,2017-07-07,58,100%
Parkfield Fire,"Monterey, San Luis Obispo",2017-07-08,"1,816",100%
Stone Fire,San Luis Obispo,2017-07-09,340,100%
Zenon Fire,San Luis Obispo,2017-07-20,47,100%
Olive Fire,San Luis Obispo,2017-07-24,150,100%
Camatta Fire,San Luis Obispo,2017-08-02,70,100%
Red Fire,San Luis Obispo,2017-08-02,460,100%
Yankee Fire,San Luis Obispo,2017-08-11,775,100%
Margarita Fire,San Luis Obispo,2017-09-03,120,100%
Huasna Fire,San Luis Obispo,2017-09-20,245,100%
Cove Fire,San Luis Obispo,2017-09-23,25,100%
Poly Fire,San Luis Obispo,2017-09-26,105,100%
Linne Fire,San Luis Obispo,2017-09-26,74,100%
Pozo Fire,San Luis Obispo,2017-10-09,45,100%
Lynch Fire,San Luis Obispo,2017-10-13,73,100%
Soda Fire,San Luis Obispo,2017-10-20,21,100%
Water Fire,San Luis Obispo,2018-05-24,100,100%
Vineyard Fire,San Luis Obispo,2018-05-29,25,100%
Resort Fire,San Luis Obispo,2018-06-03,12,100%
Vista Fire,San Luis Obispo,2018-06-13,60,100%
Creston FIre,San Luis Obispo,2018-06-14,60,100%
Yankee Fire,San Luis Obispo,2018-06-20,"1,500",100%
Creek Fire,San Luis Obispo,2018-06-21,10,100%
Fox Fire,San Luis Obispo,2018-06-26,260,100%
Camp Fire,San Luis Obispo,2018-07-17,14,100%
Rock Fire,San Luis Obispo,2018-07-21,30,100%
Mustang Fire,San Luis Obispo,2018-07-21,37,100%
Reservoir Fire,San Luis Obispo,2018-09-16,51,100%
Shandon Fire,San Luis Obispo,2018-09-29,80,100%
Camino Fire,San Luis Obispo,2018-10-19,58,100%
Belmont Fire,San Luis Obispo,2019-05-29,835,100%
Boulder Fire,San Luis Obispo,2019-06-05,"1,075",100%
Bitter Fire,San Luis Obispo,2019-06-10,120,100%
McMillan Fire,San Luis Obispo,2019-06-12,"1,763",100%
Gillis Fire,San Luis Obispo,2019-07-08,"1,010",100%
Thompson Fire,San Luis Obispo,2019-07-24,95,100%
Lopez Fire,San Luis Obispo,2019-09-21,220,100%
Ranch Fire,San Luis Obispo,2019-10-01,52,100%
Cross Fire,"Monterey, San Luis Obispo",2019-10-09,289,100%
Bitter Fire,San Luis Obispo,2019-10-11,30,100%
Range Fire,San Luis Obispo,2020-05-27,"5,000",100%
Soda Fire,San Luis Obispo,2020-06-10,"1,680",100%
Avila Fire,San Luis Obispo,2020-06-15,445,100%
Riata Fire,San Luis Obispo,2020-06-16,18,100%
River Fire,San Luis Obispo,2020-06-22,15,100%
Bend Fire,San Luis Obispo,2020-06-25,263,100%
Gage Fire,San Luis Obispo,2020-06-28,33,100%
Soda Fire,San Luis Obispo,2020-07-03,157,100%
Lake Fire,San Luis Obispo,2020-07-05,583,100%
Branch Fire,San Luis Obispo,2020-07-28,"3,222",100%
Pond Fire,San Luis Obispo,2020-08-01,"2,005",100%
166 Fire,San Luis Obispo,2020-08-03,,
Pass Fire,San Luis Obispo,2020-08-04,322,100%
Carrizo Fire,San Luis Obispo,2020-08-12,183,100%
Whale Fire,San Luis Obispo,2020-08-15,320,100%
3-2 Fire,San Luis Obispo,2020-08-16,20,100%
Placer Fire,San Luis Obispo,2020-08-25,53,100%
Tobin Fire,San Luis Obispo,2021-07-31,75,100%
Bull Fire,San Luis Obispo,2022-05-24,48,100%
Eagle Fire,San Luis Obispo,2022-06-06,36,100%
Camino Fire,San Luis Obispo,2022-06-28,387,100%
Rosa Fire,San Luis Obispo,2022-09-06,16,100%
Vineyard Fire,"Monterey, San Luis Obispo",2023-07-09,391,100%
Shell Fire,San Luis Obispo,2023-07-30,100,100%
Rinconada Fire,San Luis Obispo,2023-08-11,,
Bitter Fire,San Luis Obispo,2023-08-15,695,100%
Green Fire,San Luis Obispo,2023-10-06,243,100%
Avenales Fire,San Luis Obispo,2023-10-12,External Incident LinkExternal Link,
Lizzie Fire,San Luis Obispo,2023-10-30,124,100%
