Incident,Counties,Started,Acres,Containment
Fiddler Fire,Shasta,2013-07-09,43,100%
Honey Fire,Shasta,2013-08-04,34,100%
Cloverdale Fire,Shasta,2013-08-14,27,100%
Burney Lightning Series (Warner Fire),Shasta,2013-08-19,196,100%
Clover Fire,Shasta,2013-09-09,"8,073",100%
Dersch Fire,Shasta,2013-11-07,33,100%
Fiddler Fire,Shasta,2014-05-14,50,100%
Cassel Fire,Shasta,2014-07-05,75,100%
Dry Fire,Shasta,2014-07-09,143,100%
Bully Fire,Shasta,2014-07-11,"12,661",100%
Coffee Fire,Shasta,2014-07-30,"6,258",100%
Bald Fire,Shasta,2014-07-30,"39,736",100%
Eiler Fire,Shasta,2014-07-31,"32,416",100%
Leopard Fire,Shasta,2014-08-29,25,100%
Gulch Fire,Shasta,2014-09-10,"1,375",100%
Keswick Fire,Shasta,2015-07-07,18,100%
Mallard Fire,Shasta,2015-07-29,75,100%
China Fire,Shasta,2015-07-29,212,100%
Sprig Fire,Shasta,2015-07-30,90,100%
Fern Fire,Shasta,2015-08-02,75,100%
Point Fire,Shasta,2015-08-03,59,100%
Walker Fire,Shasta,2015-09-11,109,100%
Fiddler Fire,Shasta,2016-05-25,11,100%
Keswick Fire,Shasta,2016-06-11,24,100%
Fiddler Fire,Shasta,2016-07-08,303,100%
Mountain Fire,Shasta,2016-08-09,35,100%
Lake Fire,Shasta,2016-09-10,75,100%
Cow Fire,Shasta,2016-09-25,100,100%
Grace Fire,Shasta,2017-04-03,45,100%
Platina Fire,Shasta,2017-06-13,21,100%
Oak Fire,Shasta,2017-07-01,128,100%
North Fire,Shasta,2017-07-15,10,100%
Laverne Fire,Shasta,2017-07-18,180,100%
Sky Fire,Shasta,2017-07-29,17,100%
Corner Fire,Shasta,2017-08-17,17,100%
Hopper Fire,Shasta,2017-09-01,25,100%
Berry Fire,Shasta,2017-09-11,900,100%
Jones Fire,Shasta,2017-10-08,40,100%
Bridge Fire,Shasta,2017-10-31,37,100%
Rock Fire,Shasta,2018-03-27,11,100%
Bascom Fire,Shasta,2018-06-23,328,100%
Creek Fire,Shasta,2018-06-24,"1,678",100%
Vista Fire,Shasta,2018-07-08,31,100%
Highland Fire,Shasta,2018-07-20,63,100%
Carr Fire,"Shasta, Trinity",2018-07-23,"2,29,651",100%
Crestline Fire,Shasta,2018-07-24,51,100%
Corner Fire,Shasta,2018-07-29,35,100%
Hirz Fire,Shasta,2018-08-09,"46,150",100%
Hat Fire,Shasta,2018-08-09,"1,900",100%
Gorge Fire,Shasta,2018-08-19,155,100%
Ranchera Fire,Shasta,2018-09-04,13,100%
Delta Fire,"Shasta, Trinity",2018-09-05,"63,311",100%
Silver Fire,Shasta,2018-09-28,76,100%
Masonic Fire,Shasta,2018-10-14,38,100%
Tower Fire,Shasta,2018-10-14,12,100%
Trinity Fire,Shasta,2019-06-26,90,100%
Ranch Fire,Shasta,2019-07-05,30,100%
Horse Fire,Shasta,2019-07-12,30,100%
Gilbert Fire,Shasta,2019-08-04,30,100%
Lower Fire,Shasta,2019-08-12,46,100%
Cottage Fire,Shasta,2019-08-15,156,100%
Mountain Fire,Shasta,2019-08-22,600,100%
Cow Fire,Shasta,2019-09-24,16,100%
Plains Fire,Shasta,2019-10-10,42,100%
Brock Fire,Shasta,2020-06-04,15,100%
Platina Fire,Shasta,2020-07-19,333,100%
Zogg Fire,"Shasta, Tehama",2020-09-27,"56,338",100%
Dersch Fire,Shasta,2020-10-25,133,100%
Olinda Fire,Shasta,2020-10-25,5,100%
Point Fire (Shasta and Tehama County),"Shasta, Tehama",2020-10-25,275,100%
Woodman Fire,Shasta,2021-04-01,35,100%
Rock Fire,Shasta,2021-06-15,108,100%
Cow Fire,Shasta,2021-06-20,761,100%
Pine Fire,Shasta,2021-06-23,50,100%
Salt Fire,Shasta,2021-06-30,"12,660",100%
Dixie Fire,"Butte, Plumas, Shasta, Lassen, Tehama",2021-07-13,"9,63,309",100%
McFarland Fire,"Shasta, Trinity, Tehama",2021-07-30,"1,22,653",100%
Hiding Fire,Shasta,2021-08-01,50,100%
House Fire,Shasta,2021-08-04,60,100%
Nelson Fire,Shasta,2021-08-07,20,100%
Mule Fire,Shasta,2021-08-25,10,100%
Fawn Fire,Shasta,2021-09-22,"8,578",100%
Flanagan Fire,Shasta,2022-03-04,88,100%
Platina Fire,Shasta,2022-04-27,10,100%
Peter Fire,Shasta,2022-07-14,304,100%
Branstetter Fire,Shasta,2022-09-01,34,100%
Point Fire,Shasta,2023-05-21,10,100%
Wonder Fire,Shasta,2023-07-24,162,100%
Ridge Fire,Shasta,2023-08-04,28,100%
