Incident,Counties,Started,Acres,Containment
Salmon River Complex,Siskiyou,2013-07-31,"14,754",100%
Trout Fire,Siskiyou,2013-07-31,40,100%
Cottonwood Fire,Siskiyou,2013-08-15,50,100%
Siskiyou County Lightning Fires,Siskiyou,2014-07-29,30,100%
Oregon Gulch Fire (part of the Beaver Complex),Siskiyou,2014-07-30,"35,302",100%
Beaver Fire,Siskiyou,2014-07-30,"32,496",100%
Little Deer Fire,Siskiyou,2014-07-31,"5,503",100%
July Complex,Siskiyou,2014-08-02,"50,042",100%
Happy Camp Complex,Siskiyou,2014-08-11,,
Boles Fire,Siskiyou,2014-09-15,516,100%
Stephens Fire,Siskiyou,2015-02-24,200,100%
Cooley Fire,Siskiyou,2015-07-13,181,100%
Dorris Fire,Siskiyou,2015-07-21,24,100%
Prairie Fire,Siskiyou,2015-08-20,69,100%
Military Fire,Siskiyou,2015-10-10,58,100%
Mill Fire,Siskiyou,2016-05-19,56,100%
Pony Fire,Siskiyou,2016-06-07,"2,860",100%
Bailey Fire,Siskiyou,2016-07-19,26,100%
Table Fire,Siskiyou,2016-07-21,23,100%
Grade Fire,Siskiyou,2016-08-24,710,100%
Gap Fire,Siskiyou,2016-08-27,"33,867",100%
Moffett Fire,Siskiyou,2016-09-12,32,100%
Whitepine Fire,Siskiyou,2017-06-06,46,100%
Bogus Fire,Siskiyou,2017-06-18,56,100%
Salmon-August Complex,Siskiyou,2017-06-25,,
King Fire,Siskiyou,2017-06-26,19,100%
Klamath Fire,Siskiyou,2017-07-04,,
Fay Fire,Siskiyou,2017-07-05,496,100%
Clear Complex (merged into Eclipse Complex),Siskiyou,2017-07-25,,
Orleans Complex,Siskiyou,2017-07-26,"27,276",100%
Hill Fire,Siskiyou,2017-07-29,155,100%
Young Fire,Siskiyou,2017-08-07,"3,142",100%
Ward Fire,Siskiyou,2017-08-13,41,100%
Miller Complex,Siskiyou,2017-08-14,"39,715",100%
Eclipse Complex,Siskiyou,2017-08-15,"78,698",100%
Bradley Fire,Siskiyou,2017-08-28,54,100%
Owens Fire,Siskiyou,2017-08-29,55,100%
Shastina Fire,Siskiyou,2018-05-09,127,100%
Ager Fire,Siskiyou,2018-05-19,27,100%
Martin Fire,Siskiyou,2018-06-03,37,100%
Meamber Fire,Siskiyou,2018-06-04,12,100%
Cherry Fire,Siskiyou,2018-06-27,63,100%
Petersburg Fire,Siskiyou,2018-07-01,215,100%
Klamathon Fire,Siskiyou,2018-07-05,"38,008",100%
Steamboat Fire,Siskiyou,2018-07-15,224,100%
Lott Fire,Siskiyou,2018-07-17,10,100%
Iron Gate Fire,Siskiyou,2018-10-10,15,100%
Rocky Fire,Siskiyou,2019-06-14,17,100%
IronGate Fire,Siskiyou,2019-06-16,10,100%
Lumgrey Fire,Siskiyou,2019-06-17,207,100%
Tree Fire,Siskiyou,2019-07-27,83,100%
Community Fire,Siskiyou,2019-07-27,35,100%
Duzel Fire,Siskiyou,2019-09-07,15,100%
Lime Fire,Siskiyou,2019-09-07,"1,872",100%
Kidder 2 Fire,Siskiyou,2019-09-07,227,100%
Bar Fire,Siskiyou,2019-09-15,91,100%
Badger Fire,Siskiyou,2020-07-18,557,100%
July Complex,"Siskiyou, Modoc",2020-07-24,"83,261",100%
Schoolhouse Fire,Siskiyou,2020-09-09,45,100%
Shackleford Fire,Siskiyou,2020-09-11,50,100%
Fox Fire,Siskiyou,2020-09-16,"2,188",100%
Refuge Fire,Siskiyou,2021-03-27,873,100%
Lava Fire,Siskiyou,2021-06-24,"26,409",100%
Tennant Fire,Siskiyou,2021-06-28,"10,580",100%
Beswick Fire,Siskiyou,2021-06-28,118,100%
Bradley Fire,Siskiyou,2021-07-11,357,100%
River Complex,"Siskiyou, Trinity",2021-07-30,"1,99,359",100%
Antelope Fire,Siskiyou,2021-08-01,"1,45,632",100%
Hambone Fire,Siskiyou,2021-08-06,55,100%
McCash Fire,Siskiyou,2021-08-18,"94,962",100%
Evergreen Fire,Siskiyou,2022-03-12,12,100%
Gulch Fire,Siskiyou,2022-03-12,113,100%
Whitlow Fire,Siskiyou,2022-03-25,10,100%
Ridge Fire,Siskiyou,2022-06-26,12,100%
Yeti and Alex Fire,Siskiyou,2022-07-29,External Incident LinkExternal Link,
McKinney Fire,Siskiyou,2022-07-29,"60,138",100%
Kelsey Fire,Siskiyou,2022-07-30,85,100%
Shackleford Fire,Siskiyou,2022-07-30,31,100%
Meamber Fire,Siskiyou,2022-07-31,63,100%
Smokey Fire,Siskiyou,2022-08-04,34,100%
Mill Fire,Siskiyou,2022-09-02,"3,939",100%
Mountain Fire,Siskiyou,2022-09-02,"13,440",100%
Coyote Fire,Siskiyou,2022-09-07,297,100%
Eliza Fire,Siskiyou,2022-09-08,External Incident LinkExternal Link,
97 Fire,Siskiyou,2022-09-27,30,100%
SKU August Lightning Complex,Siskiyou,2023-08-15,838,100%
Happy Camp Complex,Siskiyou,2023-08-16,"21,725",100%
